	ENSEMBL	Entrez	Symbol	EnsemblT	RefSeq
Gene1	ENSBTAG00000003989	505642	GSTO1	ENSBTAT00000006245	NM_001075214.2
Gene2	ENSBTAG00000007357	281690	CHSY1	ENSBTAT00000009678	NM_001191157.1
Gene3	ENSBTAG00000019782	281543	TPI1	ENSBTAT00000026358	NM_001013589.3
Gene4	ENSBTAG00000004077	286862	YWHAG	ENSBTAT00000005327	NM_174793.2
Gene5	ENSBTAG00000004943	281667	CCNA2	ENSBTAT00000006503	NM_001075123.1
Gene6	ENSBTAG00000008578	613634	LSM4	ENSBTAT00000011312	NM_001035436.2
Gene7	ENSBTAG00000011046	515462	CDK7	ENSBTAT00000014667	NM_001075715.1
Gene8	ENSBTAG00000016023	515145	EIF4A3	ENSBTAT00000021327	NM_001046188.2
