	Grade3Cc_1	Grade3Cc_2	Grade3Cc_3	ShortCc_1	ShortCc_2	ShortCc_3	ShortCc_4	ShortCc_5
ENSBTAG00000026769	12.13518953	12.11269685	12.10471044	12.09374614	12.31779508	12.57768103	11.89576686	12.23948799
ENSBTAG00000026772	2.16189654	2.16189654	2.16189654	2.16189654	2.16189654	2.16189654	2.156731595	2.16189654
ENSBTAG00000026779	2.156731595	2.156731595	2.156731595	2.156731595	2.158396879	2.156731595	2.156731595	2.156731595
ENSBTAG00000026813	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000026819	5.279043964	5.260785599	5.225650877	5.445183051	5.238180367	5.297157673	5.459723806	5.511810974
ENSBTAG00000026825	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.290821334	2.563146877	2.194745958
ENSBTAG00000026829	5.198127968	5.246626427	5.37157825	5.364785693	5.117650435	5.284743723	5.282092892	5.085871216
ENSBTAG00000026886	13.41325413	13.3925832	13.35514306	13.58651094	13.54652334	13.45644814	13.43155152	13.3916612
ENSBTAG00000026893	5.514846395	5.793337122	5.946416599	5.697720767	5.634009503	5.976621476	5.900255283	5.404716019
ENSBTAG00000026913	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000026916	6.793702453	6.630684132	6.692199253	6.401481758	6.761321375	6.599078036	6.982935086	6.761881765
ENSBTAG00000026917	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000026919	6.79797588	6.774888501	6.923902862	7.129313631	6.259689699	6.077041419	7.191827389	6.609447894
ENSBTAG00000026971	9.561085854	9.574641683	9.580434147	9.701476008	9.735866924	9.934626226	9.8266453	9.772809722
ENSBTAG00000026972	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000026993	6.421636793	6.503092234	6.490809751	6.450626909	6.403470589	6.401028272	6.404640516	6.473900572
ENSBTAG00000027017	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000027051	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.174432303	2.156731595	2.156731595
ENSBTAG00000027059	5.64305238	5.656730099	5.669871436	5.777844867	5.978871941	5.841224068	5.784437178	5.535300237
ENSBTAG00000027069	10.87320281	11.10720986	11.12723484	11.22837599	11.08802822	11.29809726	11.03342647	11.11168282
ENSBTAG00000027126	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000027134	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.25900248
ENSBTAG00000027173	11.86781254	12.0944428	11.99047853	11.95903403	12.25996183	12.19476219	11.85141035	12.04066017
ENSBTAG00000027182	2.354449968	2.369310727	2.354449968	2.354449968	3.003940901	2.354449968	2.354449968	2.354449968
ENSBTAG00000027246	2.177042923	2.177042923	2.177042923	2.177042923	2.177042923	2.177042923	2.177042923	2.177042923
ENSBTAG00000027316	11.5934564	11.68581064	11.63745312	11.73924149	11.60709876	11.64155874	11.60773096	11.51645468
ENSBTAG00000027317	9.742418445	9.72465105	9.703396608	9.604135774	9.59254293	9.640186062	9.70387505	9.847467796
ENSBTAG00000027326	8.621605106	8.847369143	8.838583698	9.087921196	9.097923542	9.172932062	8.944568602	8.779274182
ENSBTAG00000027337	7.607160495	7.525892484	7.451595197	7.603222313	7.702908919	8.094754633	7.711001599	7.603222313
ENSBTAG00000027361	11.01231518	11.07697932	10.92294876	11.15358334	11.14469809	11.03937932	11.25308945	10.95461208
