	d10_1	d10_2	d10_3	d10_4	d13_1	d13_2	d13_3	d19_1	d19_2	d7_1	d7_2
ENSBTAT00000015471	9.590386549	0.779837252	5.47645087	12.96783262	5.881556916	6.227821742	6.359771946	10.6007008	14.04347598	7.469204391	4.505756815
ENSBTAT00000015472	4.170005103	0	0.533721907	1.10643356	0	0	0	0	0	0	0
ENSBTAT00000015473	0	0	0	1.601485024	2.156678649	0.590199765	2.519781337	1.203461994	3.116267448	5.587244107	0
ENSBTAT00000015474	0	0	0	0.733478427	3.84127533	2.522901368	3.231360036	2.689111309	1.263195759	4.478165689	0
ENSBTAT00000015476	0.898740826	0	0	0	0.280991921	0	0	0.213815581	0.126004957	4.913713311	3.800218919
ENSBTAT00000015478	0	0	0	1.051765522	1.817694787	0	1.621754003	1.207104932	1.284411428	3.852857913	0
ENSBTAT00000015479	12.68664536	0	0.695902597	3.967267295	4.816449924	6.822984638	8.738954352	3.449400527	4.404372154	2.201970974	0
ENSBTAT00000015480	64.75346602	22.4113349	42.0281936	36.89146607	33.70776837	31.89207708	40.77568399	21.23887151	17.45046603	39.13683481	38.91606949
ENSBTAT00000015482	0	0	0	0	0	0	0	0	0	4.02582572	0
ENSBTAT00000015483	27.38525554	9.238924464	19.01680542	38.26334176	9.108530313	9.472083065	15.96309077	54.22788476	23.20013112	18.40581777	20.53108208
ENSBTAT00000015484	29.13825916	14.90405293	26.8879615	11.12932668	15.94266844	20.66845379	14.83277587	10.51004666	8.785445889	23.41092636	33.12034158
ENSBTAT00000015485	6.367843087	8.261228869	13.55904807	2.995180731	0.814463349	2.278402544	2.410689627	2.589180907	0.108216022	7.033354347	8.975222918
ENSBTAT00000015486	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015487	5.131799301	2.503737412	5.380893063	1.885330831	2.560965782	5.471599265	3.287743575	0.976707514	2.103115223	6.714554089	2.225559415
ENSBTAT00000015488	4.178552698	0	0	0.143366574	0.090098435	0.715037529	0	0.027423492	0	9.453322533	7.311109312
ENSBTAT00000015489	0	0	0	0	0	0	0	0	0.097182904	0	0
ENSBTAT00000015490	0	0	0	0	0.110045119	0.602302097	0	0	0	5.131631927	0
ENSBTAT00000015491	0	0	0	0	2.420992628	0.963683355	2.160018565	0.937852032	1.184338435	3.421087951	15.87502038
ENSBTAT00000015493	0.76466294	0	1.174437016	6.847508396	2.629796188	2.486145811	3.184283113	0.945971963	0.571770744	0	0
ENSBTAT00000015494	0	2.640362677	3.836295533	0.662736853	0	0	0	0	0	2.023130692	0
ENSBTAT00000015495	0	0	2.970716274	3.079225473	0.967566522	0	3.391403812	0	0	15.03987722	0
ENSBTAT00000015496	0	13.1130617	0	0	0.107733247	0	0	0	0	0	4.856722358
ENSBTAT00000015499	19.73175347	49.53823308	11.6803501	13.0886376	10.15338603	9.004038966	36.21917274	3.911914131	2.535889231	11.98666906	10.42917222
ENSBTAT00000015500	0	0	0	0	0	0	0	0	0.567800114	0	0
ENSBTAT00000015505	0	0	0	0.9288794	0.770228844	0.355001141	0.909378793	0.765003413	0.242381076	0	0
ENSBTAT00000015508	20.98574959	17.51351674	5.513329327	22.52914799	35.56865753	21.26308918	16.94560019	26.27699896	16.25973053	26.16786718	23.35151356
ENSBTAT00000015510	5.541222998	11.24651778	0.425535034	11.24749521	4.712310466	4.399735425	5.586650333	0.843704723	0.310755468	1.885065692	1.874432305
ENSBTAT00000015513	18.30923171	31.45101774	9.178361845	37.85203556	38.71916201	26.97939873	32.99494139	27.34518952	13.3578278	27.18836719	49.46176407
ENSBTAT00000015522	43.45165222	52.75999167	19.8406979	35.13256635	35.67641761	27.732346	41.95465995	24.54898839	15.25742597	44.23123796	46.34634529
ENSBTAT00000015524	18.03841651	0.724108743	0.087674039	3.271552039	0.60680564	0.234436658	0.700627832	0.239017046	0.064025721	24.967592	33.79196986
ENSBTAT00000015525	164.0202007	199.2069373	209.0372949	125.8715307	159.7076624	183.1837753	224.4892851	69.49120101	100.0566488	224.7181655	254.5439188
ENSBTAT00000015528	4.134963044	1.092755141	2.910802668	3.154265422	2.370131438	6.368205868	1.812548592	2.885611953	2.705400543	3.349216356	4.856722358
ENSBTAT00000015530	108.2827972	59.56824209	119.6415955	80.03589229	81.29731463	66.55474236	66.83908602	88.183563	67.33531351	158.4084074	164.040887
ENSBTAT00000015532	7.41019124	0.379027044	1.101409113	5.137377686	5.044647897	5.726624552	2.252808148	6.483021357	5.630282208	6.389299309	9.433625784
